movie_id,Name_id,name,Actor,Director
537761,986480,洪天明,Yes,No
537761,62410,洪金寶,Yes,Yes
537761,63584,吳鎮宇,Yes,No
537761,130605,"Sire Ma",Yes,No
537761,1561554,"Leung Kin-Ping",Yes,No
941132,64496,任賢齊,Yes,No
941132,20519,任達華,Yes,No
941132,21914,方中信,Yes,No
941132,80374,譚耀文,Yes,No
941132,1222249,吳卓羲,Yes,No
64015,1619,周潤發,Yes,No
64015,102880,鍾楚紅,Yes,No
64015,224930,"Danny Chan Bak-Keung",Yes,No
64015,1140989,"Gigi Wong",Yes,No
64015,1575171,"Wu Fu-Sheng",Yes,No
616020,26739,張艾嘉,Yes,No
616020,77304,"Zhao Wei",Yes,No
616020,2363304,"Alex Lam",Yes,No
616020,2372932,"Kelly Yao",Yes,No
616020,1036634,"Teresa Cheung",Yes,No
1005251,3202177,楊偉倫,Yes,No
1005251,3202180,麥沛東,Yes,No
1005251,1222763,蘇玉華,Yes,No
1005251,68562,"Jan Lam Hoi-Fung",Yes,No
1005251,230776,周文健,Yes,No
27060,74192,馮德倫,Yes,No
27060,64436,吳彥祖,Yes,No
27060,21911,舒淇,Yes,No
27060,74196,尹子維,Yes,No
27060,96857,"Jason Tsang",Yes,No
876189,1674433,談善言,Yes,No
876189,2595841,楊偲泳,Yes,No
876189,1537551,陳健朗,Yes,No
876189,987587,歐錦棠,Yes,No
876189,268708,麥家琪,Yes,No
838119,84205,惠英紅,Yes,No
838119,932680,"Karena Ng",Yes,No
838119,1187932,吳岱融,Yes,No
838119,3196478,楊天宇,Yes,No
838119,3243219,"Janis Chan",Yes,No
10775,1337,梁朝偉,Yes,No
10775,25246,劉德華,Yes,No
10775,26724,曾志偉,Yes,No
10775,66717,黃秋生,Yes,No
10775,72730,陈慧琳,Yes,No
255856,102880,鍾楚紅,Yes,No
255856,1338,張曼玉,Yes,No
255856,58665,鶴見辰吾,Yes,No
255856,10885,曾江,Yes,No
255856,56804,劉兆銘,Yes,No
987446,2067022,余香凝,Yes,No
987446,1690917,王浩信,Yes,No
987446,1187932,吳岱融,Yes,No
987446,87944,羅家英,Yes,No
987446,3035681,許博文,Yes,No
45935,1337,梁朝偉,Yes,No
45935,148351,羽田美智子,Yes,No
45935,12672,劉嘉玲,Yes,No
45935,56816,李嘉欣,Yes,No
45935,1174366,高捷,Yes,No
11647,78869,余文樂,Yes,No
11647,20372,陳冠希,Yes,No
11647,63584,吳鎮宇,Yes,No
11647,26724,曾志偉,Yes,No
11647,12672,劉嘉玲,Yes,No
14310,25246,劉德華,Yes,No
14310,1337,梁朝偉,Yes,No
14310,66761,黎明,Yes,No
14310,1340,陳道明,Yes,No
14310,66717,黃秋生,Yes,No
2143,18023,"Robert Carlyle",Yes,No
2143,21977,"Oyanka Cabezas",Yes,No
2143,349,史考特·葛倫,Yes,No
2143,21978,"Louise Goodall",Yes,No
2143,21979,"Salvador Espinoza",Yes,No
850884,3574269,Hongkongers,Yes,No
850884,2340766,"Benny Tai Yiu-ting",Yes,No
850884,3735681,"Gwyneth Ho",Yes,No
185,56890,"Malcolm McDowell",Yes,No
185,2264,"Patrick Magee",Yes,No
185,2272,"Carl Duering",Yes,No
185,2267,"Michael Bates",Yes,No
185,2268,"Warren Clarke",Yes,No
497828,1716493,"Harris Dickinson",Yes,No
497828,1187068,"Charlbi Dean",Yes,No
497828,57755,伍迪·哈里遜,Yes,No
497828,31960,"Zlatko Burić",Yes,No
497828,84241,"Vicki Berlin",Yes,No
960258,1383391,"Holly Earl",Yes,No
960258,3498314,"Jack Trueman",Yes,No
960258,3498317,"Catherine Hannay",Yes,No
960258,2992825,"Malachi Pullar-Latchman",Yes,No
960258,3498318,"Thomas Michael Flynn",Yes,No
807196,1115,史蒂芬·葛拉翰,Yes,No
807196,21679,"Vinette Robinson",Yes,No
807196,1850839,"Alice May Feetham",Yes,No
807196,973,傑森·弗萊明,Yes,No
807196,1252521,"Hannah Walters",Yes,No
797838,1361963,"Tom Prior",Yes,No
