adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,1,1393213,Writing,Judy Chu,Judy Chu,0.001,,60bf18acea84c7002aea78ad,Directing,Director,838119
False,2,66718,Directing,麥兆輝,麥兆輝,3.838,/9iSljOXim6qWYEbX47NKtoVQ19r.jpg,52fe43b49251416c7501afad,Directing,Director,10775
False,2,65994,Directing,劉偉強,劉偉強,9.522,/jeOcDd8zWKc4nYk9MvRS3FKzuc2.jpg,52fe43b59251416c7501afb9,Directing,Director,10775
False,2,96856,Directing,Yonfan,Yonfan,1.756,/kuW8H9dcVkXn1KNdA1RBqWRZ1Y.jpg,5300bc80c3a3683fd5324feb,Directing,Director,255856
False,2,3447341,Directing,Terry Ng Ka-Wai,Terry Ng Ka-Wai,0.48,/xK8IClvfv5dpCC7jWuCQqlFIfK5.jpg,62a80bc9f18ce700a54ede6d,Directing,Director,987446
False,2,64992,Directing,侯孝賢,侯孝賢,4.566,/wAopWTkzzjnUeegmG0wOUbAEJw4.jpg,52fe46dac3a36847f8115d83,Directing,Director,45935
False,2,65994,Directing,劉偉強,劉偉強,9.522,/jeOcDd8zWKc4nYk9MvRS3FKzuc2.jpg,52fe44709251416c75034b19,Directing,Director,11647
False,2,66718,Directing,麥兆輝,麥兆輝,3.838,/9iSljOXim6qWYEbX47NKtoVQ19r.jpg,52fe44709251416c75034b1f,Directing,Director,11647
False,2,65994,Directing,劉偉強,劉偉強,9.522,/jeOcDd8zWKc4nYk9MvRS3FKzuc2.jpg,52fe45e59251416c75066225,Directing,Director,14310
False,2,66718,Directing,麥兆輝,麥兆輝,3.838,/9iSljOXim6qWYEbX47NKtoVQ19r.jpg,52fe45e59251416c75066211,Directing,Director,14310
False,0,3199825,Directing,Yang Ming-hui,Yang Ming-hui,0.001,,611a93043876510045f0278f,Directing,Director,861947
False,2,15488,Directing,Ken Loach,Ken Loach,12.272,/vGtkrPgNeK3xkbbKTQ4vWD1VsEm.jpg,52fe433ac3a36847f8044127,Directing,Director,2143
False,2,1277754,Directing,Kiwi Chow,Kiwi Chow,1.052,/yxcd8W6sOWVP1jN6b5mAVf1juXu.jpg,60f055205aba32002c430909,Directing,Director,850884
False,2,240,Directing,史丹利·庫柏力克,Stanley Kubrick,19.084,/yFT0VyIelI9aegZrsAwOG5iVP4v.jpg,52fe4224c3a36847f80071db,Directing,Director,185
